Age_Ma,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Ag_Area,Cd_Area,Sn_Area,Te_Area,Ba_Area,T_Area
6.797455311,2291,39300,-3822,-951,57677,11918,3043725,6363,-204,7747,84980,52355,408,677,110,4026,1963,118238,1553,6004,-1682,-1280,498,415,1348262,2671,15263,3328,20868.0,144852
6.798193455,2164,39950,-4626,-1249,57322,11150,3141558,6189,156,7671,84977,52554,462,769,86,3576,1599,119845,1525,5932,-1338,-1192,463,175,1357496,2845,17079,3251,21154.0,144430
6.798930645,2614,41412,-4375,-1079,60101,12020,3158468,6373,546,7975,90108,51891,501,868,109,3584,2060,122954,2074,5347,-1451,-1326,329,261,1356692,2224,16219,3844,21283.0,152527
6.799668789,2537,41337,-4271,-1196,61661,11360,3219316,6575,393,8004,85629,50806,663,858,64,3463,1240,125285,2458,6087,3,243,2681,159,1358006,2783,16476,4275,22971.0,147438
6.800406933,2548,43503,-4364,-1034,60555,12354,3170728,6777,822,8856,96352,52041,434,758,60,3950,2184,123899,1903,5621,-1948,-1636,456,275,1358305,3206,16393,3737,22881.0,161534
6.801144123,2550,42770,-4199,-1147,60610,12103,3150645,6886,47,8619,96759,51007,513,875,94,3772,1900,120567,2342,6696,-1090,-1634,342,261,1356027,2984,16770,3410,23545.0,161068
6.801882267,2299,43044,-4208,-1062,61481,12957,3172493,7181,129,8578,96926,50869,540,782,79,4057,1892,123342,1776,5352,-1397,-1084,479,265,1357684,2724,16674,3410,23938.0,162407
6.802620411,2652,43723,-4586,-1278,60359,12665,3243962,6764,517,8982,97453,52362,548,950,189,3576,2079,123854,1464,4848,-365,-506,327,259,1359927,2270,16452,2940,23365.0,163257
6.803358078,2691,43791,-4405,-1136,59052,12857,3239240,7441,142,8860,97173,53068,544,875,161,3718,2020,122008,1956,5242,-1661,-1489,533,444,1363142,2376,16509,3237,24746.0,163953
6.804095745,2584,43897,-4140,-1319,59164,12768,3228488,7278,410,9414,95293,51694,532,788,86,3783,2336,121764,1459,5788,-1896,-1596,417,379,1361784,2538,16899,3489,23951.0,161820
6.804833889,2829,42544,-4494,-1321,58574,12363,3233539,6826,590,9387,95142,53202,550,920,176,3492,1797,122568,2240,5508,-1059,-794,362,286,1362053,3123,17006,3914,23460.0,159704
6.805571556,2338,42003,-4358,-1476,58977,12264,3238479,6905,521,9048,97786,51486,470,754,164,3784,1806,121787,1875,5499,-1749,-1127,299,232,1362311,2556,16091,3077,22829.0,161296
6.806309223,2050,39684,-4302,-1168,59605,12007,3041813,6452,236,9107,92099,49880,535,866,166,3494,2105,117436,1981,5373,-1347,-1206,432,282,1360203,2029,16974,3002,23032.0,152292
